id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,ntl_pc,ntl_a
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,1.7,1.1
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,1.9,1.3
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,3.4,12.6
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,2.2,2.6
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,2.3,2.9
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,2.9,10.4
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,.9300000000000001,1.4
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,1.1,1.6
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,4.100000000000001,10.5
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,1.3,2.1
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,1.4,2.3
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,2.2,10.4
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,2.7,4.100000000000001
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,2.7,4.2
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,2,12
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,3.4,3.2
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,3.5,3.4
3_10_208_0,2011,Urban,3,India,10,Bihar,208,Supaul,5.300000000000001,17.1
3_10_209_0,2011,Rural,3,India,10,Bihar,209,Araria,2.5,2.6
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,2.7,2.9
3_10_209_0,2011,Urban,3,India,10,Bihar,209,Araria,5.800000000000001,16.9
3_10_210_0,2011,Rural,3,India,10,Bihar,210,Kishanganj,4.3,3.4
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,4.600000000000001,3.8
3_10_210_0,2011,Urban,3,India,10,Bihar,210,Kishanganj,6.600000000000001,15.6
3_10_211_0,2011,Rural,3,India,10,Bihar,211,Purnia,3.7,3.1
