id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,st,sc
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,6.93,14.81
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,6.350000000000001,14.08
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,1.14,7.43
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,.25,13.05
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,.24,12.74
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,.15,9.16
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,.05,14.79
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,.05,14.73
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,.08,13.29
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,.09,12.01
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,.09,11.85
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,.08,9.17
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,.09,13.23
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,.09,13.08
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,.08,9.27
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,.47,16.18
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,.46,15.89
3_10_208_0,2011,Urban,3,India,10,Bihar,208,Supaul,.13,10.2
3_10_209_0,2011,Rural,3,India,10,Bihar,209,Araria,1.45,13.85
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,1.38,13.61
3_10_209_0,2011,Urban,3,India,10,Bihar,209,Araria,.3,9.82
3_10_210_0,2011,Rural,3,India,10,Bihar,210,Kishanganj,3.99,6.26
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,3.8,6.69
3_10_210_0,2011,Urban,3,India,10,Bihar,210,Kishanganj,2.02,10.77
3_10_211_0,2011,Rural,3,India,10,Bihar,211,Purnia,4.16,12.27
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,4.270000000000001,11.98
3_10_211_0,2011,Urban,3,India,10,Bihar,211,Purnia,5.24,9.460000000000001
3_10_212_0,2011,Rural,3,India,10,Bihar,212,Katihar,6.22,8.27
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,5.86,8.57
3_10_212_0,2011,Urban,3,India,10,Bihar,212,Katihar,2.14,11.6
3_10_213_0,2011,Rural,3,India,10,Bihar,213,Madhepura,.64,17.59
3_10_213_0,2011,Total,3,India,10,Bihar,213,Madhepura,.63,17.3
3_10_213_0,2011,Urban,3,India,10,Bihar,213,Madhepura,.37,10.96
3_10_214_0,2011,Rural,3,India,10,Bihar,214,Saharsa,.32,17.47
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,.32,16.69
3_10_214_0,2011,Urban,3,India,10,Bihar,214,Saharsa,.27,8.040000000000001
3_10_215_0,2011,Rural,3,India,10,Bihar,215,Darbhanga,.06,16.06
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,.07,15.64
3_10_215_0,2011,Urban,3,India,10,Bihar,215,Darbhanga,.15,11.73
3_10_216_0,2011,Rural,3,India,10,Bihar,216,Muzaffarpur,.11,16.37
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,.12,15.66
3_10_216_0,2011,Urban,3,India,10,Bihar,216,Muzaffarpur,.26,9.19
3_10_217_0,2011,Rural,3,India,10,Bihar,217,Gopalganj,2.48,12.68
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,2.37,12.49
3_10_217_0,2011,Urban,3,India,10,Bihar,217,Gopalganj,.84,9.67
3_10_218_0,2011,Rural,3,India,10,Bihar,218,Siwan,2.66,11.93
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,2.61,11.61
3_10_218_0,2011,Urban,3,India,10,Bihar,218,Siwan,1.76,6.18
3_10_219_0,2011,Rural,3,India,10,Bihar,219,Saran,1,12.18
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,.9300000000000001,12
3_10_219_0,2011,Urban,3,India,10,Bihar,219,Saran,.26,10.16
3_10_220_0,2011,Rural,3,India,10,Bihar,220,Vaishali,.06,21.39
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,.07,21.12
3_10_220_0,2011,Urban,3,India,10,Bihar,220,Vaishali,.09,17.33
3_10_221_0,2011,Rural,3,India,10,Bihar,221,Samastipur,.03,18.94
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,.04,18.85
3_10_221_0,2011,Urban,3,India,10,Bihar,221,Samastipur,.38,16.09
3_10_222_0,2011,Rural,3,India,10,Bihar,222,Begusarai,.03,15.46
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,.05,14.55
3_10_222_0,2011,Urban,3,India,10,Bihar,222,Begusarai,.13,10.72
3_10_223_0,2011,Rural,3,India,10,Bihar,223,Khagaria,.04,15.23
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,.04,14.83
3_10_223_0,2011,Urban,3,India,10,Bihar,223,Khagaria,.11,7.55
3_10_224_0,2011,Rural,3,India,10,Bihar,224,Bhagalpur,2.7,11.05
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,2.21,10.49
3_10_224_0,2011,Urban,3,India,10,Bihar,224,Bhagalpur,.26,8.210000000000001
3_10_225_0,2011,Rural,3,India,10,Bihar,225,Banka,4.59,12.24
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,4.44,12.18
3_10_225_0,2011,Urban,3,India,10,Bihar,225,Banka,.31,10.69
3_10_226_0,2011,Rural,3,India,10,Bihar,226,Munger,1.98,15.06
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,1.56,13.44
3_10_226_0,2011,Urban,3,India,10,Bihar,226,Munger,.49,9.24
3_10_227_0,2011,Rural,3,India,10,Bihar,227,Lakhisarai,.9500000000000001,16.12
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,.8300000000000001,15.31
3_10_227_0,2011,Urban,3,India,10,Bihar,227,Lakhisarai,.15,10.43
3_10_228_0,2011,Rural,3,India,10,Bihar,228,Sheikhpura,.1,21.47
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,.1,20.6
3_10_228_0,2011,Urban,3,India,10,Bihar,228,Sheikhpura,.1,16.4
3_10_229_0,2011,Rural,3,India,10,Bihar,229,Nalanda,.05,22.94
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,.05,21.12
3_10_229_0,2011,Urban,3,India,10,Bihar,229,Nalanda,.05,11.47
3_10_230_0,2011,Rural,3,India,10,Bihar,230,Patna,.06,19.98
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,.16,15.77
3_10_230_0,2011,Urban,3,India,10,Bihar,230,Patna,.27,10.21
3_10_231_0,2011,Rural,3,India,10,Bihar,231,Bhojpur,.5,16.58
