id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,area_bu,pop_bu,dens_bu
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,5212,3662,.7000000000000001
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,5244,3818,728
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,32,156,4878
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,3966,4845,1.2
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,3997,5025,1257
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,30.5,180,5897
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,446,670,1.5
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,447,671,1500
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,1.2,1.2,1009
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,2135,3477,1.6
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,2155,3560,1652
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,19.1,83,4337
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,3409,5241,1.5
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,3449,5374,1558
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,39.90000000000001,133,3334
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,2461,2445,.99
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,2465,2453,995
3_10_208_0,2011,Urban,3,India,10,Bihar,208,Supaul,3.5,8.200000000000001,2343
3_10_209_0,2011,Rural,3,India,10,Bihar,209,Araria,2751,2944,1.1
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,2759,2980,1080
3_10_209_0,2011,Urban,3,India,10,Bihar,209,Araria,8.1,36.1,4474
3_10_210_0,2011,Rural,3,India,10,Bihar,210,Kishanganj,1916,1584,.8300000000000001
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,1921,1600,833
3_10_210_0,2011,Urban,3,India,10,Bihar,210,Kishanganj,5.300000000000001,15.1,2876
