yVar,nobs,adjRSq,GQ,GQ:bank_t,GQ:cr_s,GQ:di_e_2,GQ:e_own1,GQ:e_pr_fin3,GQ:edu_lit_15_t,GQ:edu_lit_7_t,GQ:edu_sec_15_t,GQ:edu_ter_15_t,GQ:est_sh_1,GQ:ger_t,NSEW,NSEW:bank_t,NSEW:cr_s,NSEW:di_e_2,NSEW:e_own1,NSEW:e_pr_fin3,NSEW:edu_lit_15_t,NSEW:edu_lit_7_t,NSEW:edu_sec_15_t,NSEW:edu_ter_15_t,NSEW:est_sh_1,NSEW:ger_t
ap,746,0.6452360650590212,-9.1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1152,6.3741,NA,-0.1589***,NA,NA,NA,NA,NA,NA,NA,-0.1496**,0.0774
at,854,0.6250097128177468,0.0494*,NA,3e-04,-0.0049,NA,NA,NA,NA,NA,-0.0026**,NA,NA,0.0123,NA,8e-04**,NA,NA,NA,-7e-04,NA,NA,NA,NA,NA
consumptGr,1236,-0.3577909196735105,-0.4407,NA,NA,NA,NA,-0.0248*,NA,0.0071*,NA,NA,NA,NA,0.841**,-0.0092**,-0.0035*,-0.0395,NA,NA,NA,NA,NA,NA,NA,NA
emp_7_f,854,-0.2860363420094212,-50.8679**,NA,NA,NA,0.5972***,NA,NA,NA,-0.2298***,NA,NA,NA,2.7581,NA,NA,NA,NA,0.4504,NA,-0.156,0.3556***,NA,NA,NA
emp_7_t,854,-0.35963623160335945,-31.9886**,NA,NA,NA,0.3863***,NA,NA,NA,-0.1668***,NA,NA,NA,-2.4481,NA,NA,-0.4488,NA,0.4809,NA,NA,0.1117*,NA,NA,NA
emp_rwg_f,854,0.4888580598496106,101.5844***,NA,-0.0597**,NA,-1.0612***,-0.5103*,NA,NA,0.2684***,NA,NA,NA,-76.3596**,0.1162,-0.0691,NA,0.8246**,0.6504,NA,NA,NA,NA,-0.0689,NA
emp_rwg_t,854,0.12649727256350807,68.9608***,NA,NA,NA,-0.6798***,NA,-0.2196***,NA,0.3761***,0.222,NA,NA,-4.1778,0.2782***,-0.0584,1.0338*,NA,-1.2577**,NA,NA,-0.2357*,0.3006*,NA,NA
emp_slf_f,746,-0.4918267912608194,-8.2322,NA,NA,NA,NA,-0.1725,NA,0.0827,0.0977,NA,0.037,NA,12.4496*,0.1414**,NA,-0.6941*,NA,NA,0.1637*,-0.4019***,NA,NA,NA,0.0599*
emp_slf_t,746,-0.4580532681976033,-6.0346**,NA,NA,-0.2292,NA,NA,NA,0.1078***,NA,-0.0763,NA,NA,23.5098**,NA,NA,-0.5183**,-0.1687,0.1979,0.1107***,-0.1885***,NA,NA,0.0183,0.0153
logCons_pc_mean_tot,1451,0.33923519553431625,-1.4128**,-0.0034,-0.0018**,NA,0.0165**,NA,-0.0039,0.0046,NA,NA,0.0022,NA,0.1617,-0.006*,NA,-0.026,NA,NA,0.0078***,NA,NA,-0.0118*,NA,-0.0023
