yVar,nobs,adjRSq,GQ,NSEW,GQ:bank_t,NSEW:bank_t,GQ:e_pr_fin3,NSEW:e_pr_fin3,GQ:edu_lit_15_t,NSEW:edu_lit_15_t,GQ:edu_lit_7_t,NSEW:edu_lit_7_t,GQ:edu_sec_15_t,NSEW:edu_sec_15_t,GQ:edu_ter_15_t,NSEW:edu_ter_15_t,GQ:ger_t,NSEW:ger_t,GQ:cr_s,NSEW:cr_s,GQ:di_e_2,NSEW:di_e_2,GQ:e_own1,NSEW:e_own1,GQ:est_sh_1,NSEW:est_sh_1
ap,746,0.6452360650590212,-9.1024,6.3741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1152,0.0774,NA,-0.1589***,NA,NA,NA,NA,NA,-0.1496**
at,854,0.6250097128177468,0.0494*,0.0123,NA,NA,NA,NA,NA,-7e-04,NA,NA,NA,NA,-0.0026**,NA,NA,NA,3e-04,8e-04**,-0.0049,NA,NA,NA,NA,NA
consumptGr,1236,-0.3577909196735105,-0.4407,0.841**,NA,-0.0092**,-0.0248*,NA,NA,NA,0.0071*,NA,NA,NA,NA,NA,NA,NA,NA,-0.0035*,NA,-0.0395,NA,NA,NA,NA
logCons_pc_mean_tot,1451,0.33923519553431625,-1.4128**,0.1617,-0.0034,-0.006*,NA,NA,-0.0039,0.0078***,0.0046,NA,NA,NA,NA,-0.0118*,NA,-0.0023,-0.0018**,NA,NA,-0.026,0.0165**,NA,0.0022,NA
logGdp,746,0.8772269906592497,-0.0701,0.0045,NA,NA,-0.0057,NA,NA,NA,NA,NA,NA,NA,-0.0064*,NA,0.002,NA,NA,3e-04,NA,NA,NA,NA,NA,NA
logGdpPc,746,0.8190988050647445,-0.2503**,-0.3243,NA,-0.0035,NA,0.0137,NA,NA,NA,0.0052*,NA,NA,NA,NA,0.0033**,NA,NA,0.0021*,NA,NA,NA,NA,NA,NA
logNtl_a,854,0.7173028560154072,-0.074,0.0946,-0.0051,NA,NA,NA,NA,NA,0.0069,NA,NA,NA,NA,NA,NA,NA,8e-04,-0.0027,NA,NA,NA,NA,NA,NA
logNtl_pc,854,0.5155468995926165,0.1498,0.4468,NA,-0.0108*,0.0374*,0.0643*,-0.0103*,NA,NA,NA,NA,NA,0.0252*,NA,NA,NA,0.0025,NA,NA,NA,NA,NA,NA,NA
nd,854,0.6025836381209475,34.7635,-115.7406,NA,NA,NA,1.6017,NA,-0.4833*,-0.298,NA,NA,0.5483,NA,-0.8211,NA,NA,NA,NA,NA,NA,NA,1.4856,NA,-0.179
pct_hhemp_both_tot,1421,0.006623853718180084,-0.7498*,0.2243**,NA,-0.0021,0.0061,NA,-0.0024***,-0.0018,NA,NA,NA,0.0033,NA,-0.0041,0.0034***,NA,-5e-04,NA,-0.0171**,NA,0.0074*,NA,0.001,NA
pct_hhemp_f_tot,1421,-0.09084107051083867,-1.2079,0.3427,-0.0032,NA,0.0142,NA,NA,NA,-0.0047,-0.0103**,NA,0.0058,NA,NA,0.0065***,0.0033*,NA,NA,NA,NA,0.0121,NA,0.0021,NA
pct_regWage_both_tot,1421,-0.023046108607924554,0.3431***,-0.1996*,NA,-0.0014,0.0039,NA,NA,NA,-0.0021*,0.0037***,NA,NA,0.0035,NA,-0.0025***,NA,-7e-04**,NA,NA,NA,NA,NA,NA,NA
pct_regWage_f_tot,1421,-0.168433473666306,0.0463,-0.506***,-0.0017,NA,NA,-0.0182*,NA,-0.0029,NA,0.0106**,NA,NA,NA,NA,NA,-0.0022**,NA,NA,NA,0.0228*,NA,NA,NA,NA
pct_selfemp_both_tot,1626,-0.2602143219299624,0.6414*,-0.1254,0.0024**,-0.0015,-0.0136***,NA,0.0027***,NA,NA,NA,NA,NA,-0.0036,0.0079***,NA,NA,NA,7e-04,NA,0.017*,-0.0087**,NA,NA,NA
pct_selfemp_f_tot,1421,-0.25568780695126314,0.4301,-0.4412*,0.0033*,NA,-0.0137*,NA,0.0021,NA,NA,0.0054**,NA,NA,NA,NA,NA,-0.0017,9e-04,NA,NA,0.0289*,-0.0076,NA,NA,NA
povrate_rur,1451,0.38761482454789087,-0.8788,-0.0736,-0.0039*,NA,0.011,NA,NA,NA,NA,0.0031,NA,NA,NA,NA,NA,-0.0026*,NA,NA,0.0195,NA,0.0085,NA,0.0034***,NA
povrate_tot,1451,0.35626006991477555,-1.2473*,-0.0332,-0.0035*,-0.0033,0.0099,NA,NA,NA,NA,0.0046,NA,NA,NA,NA,NA,-0.0021,-8e-04,NA,0.0185,NA,0.0129*,NA,0.0031***,NA
povrate_urb,1626,-0.04791529495857727,0.2833**,-0.267,-0.0037*,NA,NA,NA,-0.0037,NA,NA,0.0053,0.0059,NA,NA,-0.0131*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
